index,url,valid,domain,title,description,image,published,archive,content,quote,language,keyword
https://www.handelsblatt.com/unternehmen/gasversorgung-steigende-lng-preise-hohe-nachfrage-aus-asien-gefaehrdet-europas-gas-plaene/28461350.html,https://www.handelsblatt.com/unternehmen/gasversorgung-steigende-lng-preise-hohe-nachfrage-aus-asien-gefaehrdet-europas-gas-plaene/28461350.html,0,www.handelsblatt.com,Knappes Flüssigerdgas: LNG-Preise auf Höhenflug,"Die Preise für Flüssigerdgas steigen immer weiter – die Nachfrage ist hoch, das Angebot knapp. Der notwendige Ersatz für Gas aus Russland wird teuer für Europa.",https://www.handelsblatt.com/images/transport-von-fluessigem-erdgas/28461376/7-format2003.jpg,2022-07-01T09:38:29Z,https://web.archive.org/web/20220701093829/https://www.handelsblatt.com/unternehmen/gasversorgung-steigende-lng-preise-hohe-nachfrage-aus-asien-gefaehrdet-europas-gas-plaene/28461350.html,,,de,'Gas'
https://de.rt.com/meinung/142561-was-ware-wenn-deutschen-sanktionen/,https://de.rt.com/meinung/142561-was-ware-wenn-deutschen-sanktionen/,0,de.rt.com,"Was wäre, wenn ... die Deutschen die Sanktionen leid sind? — RT DE","Bisher haben sie alles brav hingenommen, die Deutschen. Nicht nur die ganzen Corona-Maßnahmen, auch die Ankündigung des regierungsamtlich verpassten Kältewinters. Aber was, wenn sich das ändern sollte? Ein Gedankenspiel.",https://web.archive.org/web/20220703185550im_/https://cdni.russiatoday.com/deutsch/images/2022.07/article/62c1bbdab480cc4e75231f08.jpg,2022-07-03T18:55:50Z,https://web.archive.org/web/20220703185550/https://de.rt.com/meinung/142561-was-ware-wenn-deutschen-sanktionen/,,,de,'Kälte'
https://www.abendblatt.de/wirtschaft/article235794977/gas-preisdeckel-ig-metall-chef-joerg-hoffmann-bundesregierung.html,https://www.abendblatt.de/wirtschaft/article235794977/gas-preisdeckel-ig-metall-chef-joerg-hoffmann-bundesregierung.html,0,www.abendblatt.de,Gas: IG-Metall-Chef Hofmann fordert Preisdeckel - Hamburger Abendblatt ,Die Gaspreise explodieren. IG-Metall-Chef Jörg Hofmann fordert einen Preisdeckel – aber nur für einen bestimmten Verbrauch.,https://img.abendblatt.de/img/wirtschaft/crop235794971/5272608839-w820-cv16_9-q85/c6a094cc-fada-11ec-982e-166484c0bb25.jpg,2022-07-04T05:30:00+02:00,https://web.archive.org/web/20220704035355/https://www.abendblatt.de/wirtschaft/article235794977/gas-preisdeckel-ig-metall-chef-joerg-hoffmann-bundesregierung.html,,,de-DE,'Preis'
https://www.spiegel.de/politik/deutschland/bundestag-olaf-scholz-nennt-afd-partei-russlands-a-283bb474-3656-444e-bc7c-1448df1688bd,https://www.spiegel.de/politik/deutschland/bundestag-olaf-scholz-nennt-afd-partei-russlands-a-283bb474-3656-444e-bc7c-1448df1688bd,0,www.spiegel.de,Bundestag: Olaf Scholz nennt AfD »Partei Russlands« - DER SPIEGEL,Im Bundestag muss sich Kanzler Scholz zur Regierungsarbeit erklären – und bleibt meist ruhig. Eine Frage der AfD über steigende Energiekosten ändert das.,https://cdn.prod.www.spiegel.de/images/a364025a-a808-47af-b581-4851bace2259_w1280_r1.77_fpx41_fpy47.jpg,2022-07-06T14:47:27+02:00,https://web.archive.org/web/20220706133638/https://www.spiegel.de/politik/deutschland/bundestag-olaf-scholz-nennt-afd-partei-russlands-a-283bb474-3656-444e-bc7c-1448df1688bd,,,de,'Russland'
https://www.sueddeutsche.de/bayern/nuernberg-hallenbaeder-schliessung-gaskrise-1.5617556,https://www.sueddeutsche.de/bayern/nuernberg-hallenbaeder-schliessung-gaskrise-1.5617556,0,www.sueddeutsche.de,Gaskrise: Nürnberg macht Hallenbäder dicht - Bayern - SZ.de,"Drei von vier Bäder sollen im Sommer geschlossen werden, um angesichts des drohenden Gasmangels Energie zu sparen. ",https://www.sueddeutsche.de/image/sz.1.5617557/1200x675?v=1657282503,2022-07-08T13:20:47Z,https://web.archive.org/web/20220708132047/https://www.sueddeutsche.de/bayern/nuernberg-hallenbaeder-schliessung-gaskrise-1.5617556,,,de,'Gas'
https://www.spiegel.de/politik/deutschland/wir-werden-abwarten-muessen-a-e03ee597-761c-48cf-bba1-9899f01d6962,https://www.spiegel.de/politik/deutschland/wir-werden-abwarten-muessen-a-e03ee597-761c-48cf-bba1-9899f01d6962,0,www.spiegel.de,Robert Habeck über russisches Gas-Aus: »Wir werden abwarten müssen« - DER SPIEGEL,"Auch Wirtschaftsminister Habeck kann nicht sagen, ob Russland bald wieder Gas schickt – und schwört die Deutschen entsprechend auf einen Sparkurs ein.",https://cdn.prod.www.spiegel.de/images/35dd67db-b6bf-4586-96b8-52ec60b6c28a_w1280_r1.77_fpx47.32_fpy44.96.jpg,2022-07-12T06:32:48+02:00,https://web.archive.org/web/20220712043657/https://www.spiegel.de/politik/deutschland/wir-werden-abwarten-muessen-a-e03ee597-761c-48cf-bba1-9899f01d6962,,,de,'Gas'
https://www.faz.net/aktuell/wirtschaft/gas-notstand-esken-fordert-vorrang-privater-haushalte-18169071.html,https://www.faz.net/aktuell/wirtschaft/gas-notstand-esken-fordert-vorrang-privater-haushalte-18169071.html,0,www.faz.net,Gas-Notstand: Saskia Esken fordert Vorrang privater Haushalte,"Soll der Staat Familien und Privatleuten das Gas drosseln, um im Ernstfall die Industrie zu versorgen? Die SPD-Vorsitzende Esken ist dagegen. Ökonomen empfehlen stattdessen Sparsamkeit sowie neue Lieferanten.",https://media1.faz.net/ppmedia/aktuell/politik/briefe-an-die-herausgeber/1426008977/1.8169135/facebook_teaser/sparflamme-erdgas-ist-aus-dem.jpg,2022-07-13T06:25:10Z,https://web.archive.org/web/20220713062510/http://www.faz.net/aktuell/wirtschaft/gas-notstand-esken-fordert-vorrang-privater-haushalte-18169071.html,,,de,'Gas'
https://www.morgenpost.de/lifestyle/wohnen/article235901081/Gasmangel-im-Winter-Wie-kalt-wird-es-zu-Hause.html,https://www.morgenpost.de/lifestyle/wohnen/article235901081/Gasmangel-im-Winter-Wie-kalt-wird-es-zu-Hause.html,0,www.morgenpost.de,Gasmangel im Winter: Wie kalt wird es zu Hause?  - Berliner Morgenpost ,"In diesem Winter könnte es zu Hause ungemütlicher werden als in den Jahren zuvor. Angesichts der Gaskrise sollen Bürgerinnen und Bürger ihren Verbrauch senken und die Heizung runter drehen. Nun tobt eine Debatte, ob die Politik manche dazu zwingen sollte.",https://img.morgenpost.de/img/wohnen/crop235901079/8762601913-w820-cv16_9-q85/Heizung.jpg,2022-07-15T09:47:01+02:00,https://web.archive.org/web/20220719183539/https://www.morgenpost.de/lifestyle/wohnen/article235901081/Gasmangel-im-Winter-Wie-kalt-wird-es-zu-Hause.html,,,de-DE,'Gas'
https://burgenland.orf.at/stories/3165204/,https://burgenland.orf.at/stories/3165204/,0,burgenland.orf.at,Große Nachfrage nach Brennholz - burgenland.ORF.at,"Die steigenden Energiepreise und eine befürchtete Gasknappheit haben die Nachfrage nach Brennholz enorm gesteigert. Manche Händler sind bereits ausverkauft, und auch die Preise für Brennholz sind in die Höhe geschnellt. Wer jetzt noch Brennholz für den Winter braucht, muss sich beeilen.",https://ibs.orf.at/bgl?image=https%3A%2F%2Foekastatic.orf.at%2Fmims%2F2022%2F30%2F57%2Fcrops%2Fw%3D1200%2Ch%3D627%2Cq%3D75%2F1427275_master_515057_h5.jpg%3Fs%3D55273ec04185b2a6cb206ae17d76a1e7e2bda425,2022-07-18T04:29:23Z,https://web.archive.org/web/20220718042923/https://burgenland.orf.at/stories/3165204/,,,de,'Preis'
https://www.spiegel.de/politik/energiekrise-aegypten-und-deutschland-planen-wasserstoff-kooperation-a-2808d509-bc9b-4213-a03f-44a11cdd9ca6,https://www.spiegel.de/politik/energiekrise-aegypten-und-deutschland-planen-wasserstoff-kooperation-a-2808d509-bc9b-4213-a03f-44a11cdd9ca6,0,www.spiegel.de,Wasserstoff: Ägypten und Deutschland planen Kooperation - DER SPIEGEL,Ägyptens Präsident el-Sisi hat Deutschland eine enge Zusammenarbeit bei der Energieversorgung angeboten. Um Menschenrechte ging es beim Treffen mit Kanzler Scholz auf dem Petersberger Klimadialog nur am Rande.,https://cdn.prod.www.spiegel.de/images/c935baf0-35c1-491f-9769-522d8463be6f_w1280_r1.77_fpx27_fpy31.jpg,2022-07-18T22:06:00+02:00,https://web.archive.org/web/20220718201009/https://www.spiegel.de/politik/energiekrise-aegypten-und-deutschland-planen-wasserstoff-kooperation-a-2808d509-bc9b-4213-a03f-44a11cdd9ca6,,,de,'Klima'
